date,reliance_open,reliance_high,reliance_low,reliance_close,reliance_volume,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume,reliance_return,nifty_return
2021-05-31,953.1124880356036,993.7852821100848,945.4268620793822,979.5475463867188,59124142,15437.75,15606.34961,15374.0,15582.7998,436000,0.03126785765118245,0.00953308777292139
2021-06-01,982.1320420491826,998.4555855632798,973.2901127,983.4470215,28013832,15629.65039,15660.75,15528.2998,15574.84961,409600,0.003980894166562221,-0.0005101900879199706
2021-06-02,978.0511285109794,1001.8562854678098,978.0511285109794,998.1154785,24630162,15520.34961,15597.4502,15459.84961,15576.2002,428600,0.014915350475744882,8.67160861144356e-05
2021-06-03,1007.0707759680464,1020.220331233519,995.7804103170116,1001.9243774414062,23974257,15655.5498,15705.09961,15611.0,15690.34961,410200,0.00381609044589748,0.007328450362367622
2021-06-04,1004.259624,1005.0077850362732,990.4073013674443,993.2412719726562,14468646,15712.5,15733.59961,15622.34961,15670.25,414200,-0.008666427990227987,-0.0012810173450302775
2021-06-07,998.4556731308024,1016.5928919877746,990.7473191357552,1009.9727783203124,16336573,15725.09961,15773.4502,15678.09961,15751.65039,394000,0.016845359551386885,0.0051945814521148215
2021-06-08,1009.6100858849402,1009.8594330639162,996.7099374722952,1004.1688842773438,9674735,15773.90039,15778.7998,15680.0,15740.09961,378200,-0.005746584628370965,-0.0007333060164498306
2021-06-09,1006.1639031267836,1007.0707400246994,978.4819302316135,986.2129516601562,11409161,15766.2998,15800.4502,15566.90039,15635.34961,457900,-0.0178813871833019,-0.006654976943948343
2021-06-10,994.5561020859404,1011.1517216348074,987.3692305170946,989.8404541015624,14155653,15692.09961,15751.25,15648.5,15737.75,298300,0.003678214157804005,0.006549286875843663
2021-06-11,993.2458157,1013.766875641892,991.9717457006176,1007.0098876953124,13762778,15796.4502,15835.5498,15749.7998,15799.34961,363000,0.017345657598258013,0.003914130673063232
2021-06-14,1007.8517599235836,1027.5310032039945,998.7742213753507,1021.4566040039062,20332436,15791.40039,15823.0498,15606.5,15811.84961,392900,0.014346151398430873,0.0007911718082425079
2021-06-15,1028.7822714120728,1035.1068867541692,1019.363468899092,1023.777099609375,15174215,15866.9502,15901.59961,15842.40039,15869.25,323300,0.002271751532441968,0.003630213505426916
2021-06-16,1021.4565636140352,1022.43480289493,1003.6883057699944,1006.3046264648438,10797349,15847.5,15880.84961,15742.59961,15767.5498,340200,-0.017066677063980018,-0.006408633048190615
2021-06-17,1001.0264002407748,1016.951852658188,991.8806822040292,1008.1473388671876,15745975,15648.2998,15769.34961,15616.75,15691.40039,357600,0.0018311675747901823,-0.0048295017910772176
2021-06-18,1012.6293299435551,1016.951973026685,993.9055793,1012.6975708007812,29369026,15756.5,15761.5,15450.90039,15683.34961,640800,0.004513459251607621,-0.0005130695667630025
2021-06-21,1002.6189276770938,1022.6393714408104,1001.0946414287472,1017.9755249023438,12186448,15525.84961,15765.15039,15505.65039,15746.5,351500,0.005211777191673317,0.004026588169643075
2021-06-22,1025.597054027167,1028.7822288722175,1009.830889872548,1012.7429809570312,12871913,15840.5,15895.75,15752.09961,15772.75,322200,-0.005140147103059767,0.0016670371193598932
2021-06-23,1023.7770302436452,1024.0499936427696,1001.7999261642768,1003.4607543945312,16653951,15862.7998,15862.9502,15673.9502,15686.9502,287500,-0.009165431641627753,-0.005439748934079391
2021-06-24,1004.1433786288184,1007.6696977965144,973.7258293406423,979.8684692382812,91461975,15737.2998,15821.40039,15702.7002,15790.4502,316700,-0.02351091963779406,0.006597840796358279
2021-06-25,979.8683558,979.8683558,946.9254774381874,957.5499877929688,55355022,15839.34961,15870.7998,15772.2998,15860.34961,314600,-0.02277701767734419,0.004426688860334149
2021-06-28,965.5355426,967.5830690553375,946.880034202098,949.1550903320312,20277042,15915.34961,15915.65039,15792.15039,15814.7002,255100,-0.008767059232371421,-0.0028782095680424113
