Date,Open,High,Low,Close,Volume
07-12-2023,20932.40039,20941.25,20850.80078,20901.15039,275000
08-12-2023,20934.09961,21006.09961,20862.69922,20969.40039,292400
11-12-2023,20965.30078,21026.09961,20923.69922,20997.09961,212900
12-12-2023,21018.55078,21037.90039,20867.15039,20906.40039,244900
13-12-2023,20929.75,20950,20769.5,20926.34961,260300
14-12-2023,21110.40039,21210.90039,21074.44922,21182.69922,334400
15-12-2023,21287.44922,21492.30078,21235.30078,21456.65039,508800
18-12-2023,21434.80078,21482.80078,21365.34961,21418.65039,249700
19-12-2023,21477.65039,21505.05078,21337.75,21453.09961,249800
20-12-2023,21543.5,21593,21087.34961,21150.15039,363900
21-12-2023,21033.94922,21288.34961,20976.80078,21255.05078,277500
22-12-2023,21295.84961,21390.5,21232.44922,21349.40039,284700
26-12-2023,21365.19922,21477.15039,21329.44922,21441.34961,219500
27-12-2023,21497.65039,21675.75,21495.80078,21654.75,256500
28-12-2023,21715,21801.44922,21678,21778.69922,393100
29-12-2023,21737.65039,21770.30078,21676.90039,21731.40039,270900
01-01-2024,21727.75,21834.34961,21680.84961,21741.90039,154000
02-01-2024,21751.34961,21755.59961,21555.65039,21665.80078,263700
03-01-2024,21661.09961,21677,21500.34961,21517.34961,311900
04-01-2024,21605.80078,21685.65039,21564.55078,21658.59961,339200
05-01-2024,21705.75,21749.59961,21629.19922,21710.80078,309300
08-01-2024,21747.59961,21763.94922,21492.90039,21513,231500
09-01-2024,21653.59961,21724.44922,21517.84961,21544.84961,228600
10-01-2024,21529.30078,21641.84961,21448.65039,21618.69922,217000
11-01-2024,21688,21726.5,21593.75,21647.19922,212500
12-01-2024,21773.55078,21928.25,21715.15039,21894.55078,294700
15-01-2024,22053.15039,22115.55078,21963.55078,22097.44922,345500
16-01-2024,22080.5,22124.15039,21969.80078,22032.30078,292400
17-01-2024,21647.25,21851.5,21550.44922,21571.94922,456000
18-01-2024,21414.19922,21539.40039,21285.55078,21462.25,387300
19-01-2024,21615.19922,21670.59961,21575,21622.40039,343100
23-01-2024,21716.69922,21750.25,21192.59961,21238.80078,449700
24-01-2024,21185.25,21482.34961,21137.19922,21453.94922,407500
25-01-2024,21454.59961,21459,21247.05078,21352.59961,418100
29-01-2024,21433.09961,21763.25,21429.59961,21737.59961,376700
30-01-2024,21775.75,21813.05078,21501.80078,21522.09961,375100
31-01-2024,21487.25,21741.34961,21448.84961,21725.69922,410600
01-02-2024,21780.65039,21832.94922,21658.75,21697.44922,332500
02-02-2024,21812.75,22126.80078,21805.55078,21853.80078,442800
05-02-2024,21921.05078,21964.30078,21726.94922,21771.69922,440800
06-02-2024,21825.19922,21951.40039,21737.55078,21929.40039,371000
07-02-2024,22045.05078,22053.30078,21860.15039,21930.5,346300
08-02-2024,22009.65039,22011.05078,21665.30078,21717.94922,491100
09-02-2024,21727,21804.44922,21629.90039,21782.5,349200
12-02-2024,21800.80078,21831.69922,21574.75,21616.05078,287400
13-02-2024,21664.30078,21766.80078,21543.34961,21743.25,365800
14-02-2024,21578.15039,21870.84961,21530.19922,21840.05078,359100
15-02-2024,21906.55078,21953.84961,21794.80078,21910.75,345400
16-02-2024,22020.30078,22068.65039,21968.94922,22040.69922,343900
19-02-2024,22103.44922,22186.65039,22021.05078,22122.25,0
20-02-2024,22099.19922,22215.59961,22045.84961,22196.94922,295700
